State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Kansas,19.7,20.5,21.5,22,21.3,20.7,20.3,18.6,19,17.9,17,16.3,15.8,15.6
Kentucky,7.8,9.4,10.7,11,10.8,11.5,11.9,10.5,9.8,9.8,9.7,9.6,9.4,9.3
Louisiana,11.8,12.6,13.5,14.6,14.8,9.1,12.8,11.7,11.6,11.8,11.5,11.1,10.7,11
Maine,4.1,4.3,4.6,4.9,5,5.1,5.1,5.7,5.8,5.7,5.2,5.6,4.7,4.7
Maryland,15.2,15.6,17.4,18.4,19.2,19.7,20,20.4,20.6,19.9,20.5,19.8,19,18.2
Massachusetts,25.6,26.9,29.3,30.6,32,33.5,35.1,35.3,34.5,34,33.8,33.1,33.5,34.7
Michigan,13.1,13.7,14.9,15.7,15.5,15.5,16,16.4,16.1,15.8,16.9,16.3,16.2,16.6
Minnesota,12.3,12.3,13.3,13.5,16.9,21.6,25.4,25.8,28.1,29.6,23.7,23.1,22.3,20.8
Mississippi,8.2,8.4,8.9,8.6,9.9,10.3,9.8,9.4,9.3,9.7,10.2,10.3,10.1,9.9
Missouri,11.1,11.5,12.6,13.2,13.7,14.3,15.5,16,16.9,13.7,12.3,12.1,12.7,13.3
Montana,12.3,13.1,13.9,14.9,14.6,14.7,14.4,13.9,13.4,13.3,12.2,11.7,11.4,11
Nebraska,13.2,13.4,14.5,15.1,15.2,15.3,15.9,16.2,16.6,16.8,17.2,15.4,15.3,16
Nevada,5.2,5.6,6,6.7,6.7,6.7,6.9,7.2,7.6,7.2,6.7,6,6,5.7
New Hampshire,10.1,10.1,11.3,11.9,12.5,12.8,12.9,13.2,12.9,12.9,13.2,12.6,13.4,13.3
New Jersey,10.7,10.8,11.3,11.6,12,12.3,12.8,12.8,13.2,13.7,12.3,11.5,12,11.8
New Mexico,16.7,17.5,16.4,18.1,18.2,17.9,17.2,17.6,17.2,16,16,15.5,15.1,14.6
New York,15.7,16.4,17.1,18,18.4,19.5,20.4,20.4,19.9,19.5,19.5,19.2,18.6,18.2
North Carolina,10.4,10.7,11.3,11.7,12.1,12.8,13.1,14.1,14,13.8,14.1,14.5,14.5,14
North Dakota,16.1,17.1,17.6,25.2,23.9,25.3,23.8,23.2,25.3,25.6,20.5,20,19.8,19.2
Ohio,12.8,13.2,14,14.7,15,15.8,15.3,16.9,16.8,17.1,16.8,16.4,16.5,16.2
Oklahoma,9,10.6,11.5,11.5,11,10.7,10.3,11,11.2,10.9,11.7,11.9,11.6,11.4
Oregon,9.2,9.5,10.1,10.3,9.9,10.5,10.7,10.8,10.9,10.9,11,10.6,11.1,11.4
Pennsylvania,14.5,15.1,17.1,18.1,18.5,18.4,18.5,17.8,17.1,17,17,15.9,16.4,16.7
Rhode Island,14.1,13.9,14.7,15.8,16.8,17.3,17.1,17.7,18.1,19.3,20.2,19.3,19,18.1
South Carolina,6.7,6.9,7,7.1,7.1,6.8,7.1,7,7,7.5,7.6,7.9,8,8.5
South Dakota,12.4,13.3,13.9,13.6,14.3,13.7,13.9,11.1,11.9,15.3,14.9,13.3,13.9,13
Tennessee,8.1,8.8,9.3,10.1,9.9,10.2,9.9,9.8,9.9,9.4,9.5,9.5,9.6,9
Texas,10.6,10.7,11.5,12.4,12.2,12.3,12.1,12.1,12.2,12.3,12.6,12.3,12.2,12.3
Utah,13.9,14.2,14.5,15.4,14.5,15.4,15.3,14.2,13.9,13.7,12.9,13.8,13.2,13.3
Vermont,9.8,9.7,9.9,10.4,10.5,11.2,11.4,11.9,11.1,11.4,11.2,10.4,9.8,8.8
Virginia,13.1,14.3,14.7,15.2,14.9,14.9,15.5,16,15.8,15.8,15.5,15,14.1,13.7
Washington,8.6,8.6,9,9.9,9.6,9.8,10,9.4,9.3,9.8,9.9,9.8,9.8,9.7
West Virginia,11.3,11.5,12.8,13.2,13,13,13.2,13.2,12.7,12.3,11.7,11,11.1,11
Wisconsin,13.6,14.2,14.5,15.3,15.6,15.6,15.5,15.2,14.2,14.2,14,13.6,13.9,13.5
Wyoming,14.5,15.3,15.8,16.8,16.3,16.4,14.9,13.2,12.8,13.2,14.1,14.2,14.3,13.1
